Date,Open,High,Low,Close,Volume
2021-04-07,44,44,44,44,814
2021-04-08,43.75,44.4,43.75,44.4,779
2021-04-09,44.3,45.65,44.3,45.65,1663
2021-04-12,46.5,46.5,44.9,44.9,12833
2021-04-13,44.1,44.8,44.1,44.8,12633
2021-04-14,43.05,44.7,43.05,44.7,1653
2021-04-15,43.05,45.55,43.05,45.55,2742
2021-04-16,45.55,45.55,44.7,44.7,3004
2021-04-19,46.7,46.7,42.8,42.8,2291
2021-04-20,43.85,43.85,42.9,42.9,3148
2021-04-21,43.65,43.65,42,42,13702
2021-04-22,42.2,42.2,40.8,40.8,18447
2021-04-23,40.6,41.35,40.6,41.35,1776
2021-04-26,42.3,42.3,41.75,41.75,1187
2021-04-27,42.6,42.6,41.85,41.85,1318
2021-04-28,42.4,42.4,41.65,41.65,1429
2021-04-29,41.75,41.75,41.25,41.25,6534
2021-04-30,40.8,40.8,40.4,40.4,6777
2021-05-04,40.3,40.3,38.9,38.9,9613
2021-05-05,38.7,40.1,38.7,40.1,1892
2021-05-06,40.1,40.1,38.9,38.9,20642
2021-05-07,38.7,38.7,38.6,38.6,17557
2021-05-10,38.7,38.9,38.7,38.9,11986
2021-05-11,37.45,37.45,36.3,36.3,63225
2021-05-12,38,38,36.8,36.8,112993
2021-05-13,36.8,36.8,36.8,36.8,0
2021-05-14,37.15,37.15,36.4,36.4,9221
2021-05-17,36.4,36.4,36.4,36.4,0
2021-05-18,38.4,38.4,36.7,36.7,3156
2021-05-19,36.5,36.5,36.1,36.1,51307
2021-05-20,36.2,36.2,35.55,35.55,737
2021-05-21,35.85,37.05,35.85,37.05,9317
2021-05-24,37.05,37.05,37.05,37.05,0
2021-05-25,38.6,38.6,37.55,37.55,17907
2021-05-26,38,38,37.25,37.25,12402
2021-05-27,37.05,37.05,37.05,37.05,151464
2021-05-28,37.75,37.75,37.55,37.55,37695
2021-06-01,38.7,38.7,37.85,37.85,447
2021-06-02,38.5,38.5,36.3,36.3,1005
2021-06-03,36.6,36.6,35.25,35.25,60993
2021-06-04,36,36,35.55,35.55,27098
2021-06-07,35.75,35.75,34.3,34.3,52256
2021-06-08,35.05,35.05,34.3,34.3,4927
2021-06-09,34.6,34.6,33.45,33.45,24238
2021-06-10,33.75,33.75,33.15,33.15,21192
2021-06-11,34.1,34.1,33.45,33.45,319372
2021-06-14,35.05,35.05,34.9,34.9,2806
2021-06-15,34.5,34.5,34.5,34.5,24
2021-06-16,34.4,34.4,33.75,33.75,38252
2021-06-17,34.4,34.4,33.15,33.15,3036
2021-06-18,33.45,33.45,33.15,33.15,17898
2021-06-21,33.45,33.45,32,32,33551
2021-06-22,34.2,34.2,32.4,32.4,36711
2021-06-23,32.7,32.7,32.2,32.2,19669
2021-06-24,32.6,32.6,32.4,32.4,44353
2021-06-25,32.6,32.6,32.2,32.2,11911
2021-06-28,33.05,33.05,31.75,31.75,6666
2021-06-29,31.75,31.75,31.55,31.55,591630
