Date,Open,High,Low,Close,Volume
2025-05-22,2.9,3.08,2.9,3.08,2000
2025-05-23,2.856,2.954,2.856,2.916,0
2025-05-26,2.886,3.108,2.886,3.108,0
2025-05-27,3.03,3.074,3.03,3.066,0
2025-05-28,2.946,3.106,2.946,3.106,0
2025-05-29,2.958,3,2.958,2.982,0
2025-05-30,2.952,3.074,2.952,3.042,0
2025-06-03,3.008,3.008,2.866,2.872,0
2025-06-04,2.784,2.884,2.784,2.884,0
2025-06-05,2.822,2.9,2.822,2.866,0
2025-06-06,2.732,2.822,2.732,2.822,0
2025-06-09,2.754,2.796,2.754,2.796,0
2025-06-10,2.758,2.912,2.758,2.906,0
2025-06-11,2.82,2.916,2.82,2.916,0
2025-06-12,2.834,2.974,2.834,2.97,0
2025-06-13,2.886,3.034,2.886,3.006,0
2025-06-16,2.906,3.018,2.906,2.98,0
2025-06-17,2.87,2.96,2.87,2.938,0
2025-06-18,2.862,3.15,2.862,3.15,4000
2025-06-19,2.858,2.958,2.858,2.922,0
2025-06-20,2.84,2.928,2.84,2.928,0
2025-06-23,2.854,2.946,2.854,2.94,0
2025-06-24,2.842,2.904,2.842,2.904,0
2025-06-25,2.812,2.916,2.812,2.884,0
2025-06-26,2.782,2.86,2.782,2.86,0
2025-06-27,2.78,2.868,2.78,2.866,0
2025-06-30,2.766,2.868,2.766,2.868,0
2025-07-01,2.778,2.838,2.778,2.828,0
2025-07-02,2.75,2.922,2.75,2.922,0
2025-07-03,2.854,2.956,2.854,2.956,0
2025-07-04,2.866,2.94,2.866,2.94,0
2025-07-07,2.864,2.916,2.864,2.902,0
2025-07-08,2.842,2.908,2.842,2.886,0
2025-07-09,2.84,2.968,2.84,2.968,0
2025-07-10,2.888,2.986,2.888,2.944,0
2025-07-11,2.882,2.974,2.882,2.974,0
2025-07-14,2.886,3.034,2.886,3.034,0
2025-07-15,3.15,3.15,2.962,2.962,150
2025-07-16,2.894,2.984,2.894,2.954,0
2025-07-17,2.854,2.964,2.854,2.952,0
2025-07-18,2.882,2.98,2.882,2.944,0
2025-07-21,2.85,2.962,2.85,2.94,0
2025-07-22,2.836,2.936,2.836,2.932,0
2025-07-23,3.058,3.148,3.058,3.138,0
2025-07-24,3.038,3.202,3.038,3.202,0
2025-07-25,3.114,3.212,3.114,3.154,0
2025-07-28,3.058,3.21,3.058,3.206,0
2025-07-29,3.108,3.262,3.108,3.262,0
2025-07-30,3.218,3.374,3.218,3.314,0
2025-07-31,3.204,3.282,3.204,3.262,0
2025-08-01,3.172,3.234,3.172,3.202,0
2025-08-04,3.072,3.24,3.072,3.24,0
2025-08-05,3.15,3.37,3.15,3.37,0
2025-08-06,3.28,3.5,3.28,3.5,0
2025-08-07,3.384,3.468,3.278,3.278,0
2025-08-08,3.176,3.32,3.176,3.312,0
2025-08-11,3.176,3.378,3.176,3.326,1000
2025-08-12,3.23,3.37,3.23,3.37,0
2025-08-13,3.27,3.378,3.27,3.368,0
2025-08-14,3.274,3.372,3.274,3.37,0
2025-08-15,3.27,3.38,3.27,3.38,0
2025-08-18,3.26,3.364,3.26,3.364,0
2025-08-19,3.272,3.398,3.272,3.386,0
2025-08-20,3.282,3.378,3.282,3.378,0
2025-08-21,3.292,3.896,3.292,3.896,1500
2025-08-22,3.362,3.51,3.362,3.484,0
2025-08-25,3.374,3.474,3.374,3.45,0
2025-08-26,3.342,3.512,3.342,3.504,0
2025-08-27,3.464,3.72,3.464,3.568,2000
2025-08-28,3.468,3.684,3.468,3.604,0
2025-08-29,3.47,3.664,3.47,3.664,0
2025-09-01,3.526,3.662,3.526,3.662,0
2025-09-02,3.556,3.6,3.3,3.3,1950
2025-09-03,3.304,3.436,3.304,3.39,0
2025-09-04,3.242,3.34,3.242,3.328,0
2025-09-05,3.238,3.354,3.238,3.276,0
2025-09-08,3.17,3.358,3.17,3.338,0
2025-09-09,3.234,3.366,3.234,3.366,0
2025-09-10,3.274,3.388,3.274,3.388,0
2025-09-11,3.292,3.374,3.292,3.33,0
2025-09-12,3.242,3.372,3.242,3.372,0
2025-09-15,3.28,3.392,3.28,3.378,0
2025-09-16,3.266,3.426,3.266,3.426,0
2025-09-17,3.352,3.548,3.352,3.548,0
2025-09-18,3.446,3.596,3.446,3.574,0
2025-09-19,3.44,3.574,3.44,3.5,0
2025-09-22,3.408,3.512,3.408,3.478,0
2025-09-23,3.354,3.472,3.354,3.472,0
2025-09-24,3.382,3.502,3.382,3.498,0
2025-09-25,3.412,3.548,3.412,3.472,0
2025-09-26,3.382,3.624,3.382,3.49,2000
2025-09-29,3.392,3.47,3.392,3.442,0
2025-09-30,3.336,3.442,3.336,3.43,0
2025-10-01,3.304,3.448,3.304,3.438,0
2025-10-02,3.336,3.462,3.336,3.422,0
2025-10-03,3.294,3.428,3.294,3.378,0
2025-10-06,3.306,3.466,3.306,3.466,0
2025-10-07,3.362,3.47,3.362,3.454,0
2025-10-08,3.352,3.452,3.352,3.388,0
2025-10-09,3.27,3.386,3.27,3.304,0
2025-10-10,3.202,3.268,3.202,3.224,0
2025-10-13,3.132,3.268,3.132,3.264,2500
2025-10-14,3.16,3.236,3.16,3.228,0
2025-10-15,3.152,3.304,3.152,3.304,0
2025-10-16,3.202,3.446,3.202,3.446,148
2025-10-17,3.18,3.23,3.18,3.23,0
2025-10-20,3.14,3.336,3.14,3.302,0
2025-10-21,3.188,3.318,3.188,3.218,0
2025-10-22,3.132,3.272,3.132,3.254,0
2025-10-23,3.184,3.292,3.184,3.26,0
2025-10-24,3.334,3.356,3.334,3.334,0
2025-10-27,3.344,3.382,3.304,3.382,0
2025-10-28,3.308,3.432,3.308,3.432,0
2025-10-29,3.34,3.498,3.34,3.498,0
2025-10-30,3.402,3.494,3.402,3.494,0
2025-10-31,3.408,3.514,3.408,3.484,0
2025-11-03,3.386,3.508,3.386,3.508,0
2025-11-04,3.376,3.566,3.376,3.406,172
2025-11-05,3.318,3.432,3.318,3.352,0
2025-11-06,3.358,3.376,3.358,3.376,0
2025-11-07,3.416,3.416,3.386,3.386,0
2025-11-10,3.33,3.46,3.33,3.446,0
2025-11-11,3.342,3.486,3.342,3.486,0
2025-11-12,3.414,3.532,3.414,3.49,0
2025-11-13,3.5,3.5,3.452,3.452,0
2025-11-14,3.342,3.408,3.342,3.408,0
2025-11-17,3.49,3.49,3.49,3.49,0
2025-11-18,3.402,3.48,3.402,3.404,5000
2025-11-19,3.458,3.458,3.45,3.45,0
2025-11-20,3.472,3.472,3.454,3.462,0
2025-11-21,3.404,3.404,3.404,3.404,0
2025-11-24,3.442,3.452,3.442,3.45,0
2025-11-25,3.46,3.464,3.46,3.464,0
2025-11-26,3.44,3.512,3.44,3.512,0
2025-11-27,3.45,3.616,3.45,3.616,0
2025-11-28,3.522,3.634,3.522,3.634,0
2025-12-01,3.55,3.646,3.55,3.646,0
2025-12-02,3.552,3.618,3.454,3.502,130
2025-12-03,3.344,3.498,3.344,3.498,0
2025-12-04,3.542,3.636,3.542,3.636,0
2025-12-05,3.538,3.732,3.538,3.732,0
2025-12-08,3.76,3.76,3.76,3.76,0
2025-12-09,3.69,3.772,3.69,3.772,0
2025-12-10,3.632,3.772,3.632,3.75,0
2025-12-11,3.618,3.754,3.618,3.722,0
2025-12-12,3.638,3.73,3.638,3.724,0
2025-12-15,3.61,3.686,3.61,3.686,0
2025-12-16,4.152,4.152,3.548,3.548,50
2025-12-17,3.544,3.816,3.544,3.816,150
2025-12-18,3.51,3.622,3.51,3.622
2025-12-19,3.622,3.622,3.496,3.496
2025-12-22,3.442,3.532,3.442,3.522
2025-12-23,3.432,3.554,3.432,3.554
2025-12-29,3.472,3.592,3.472,3.588
2025-12-30,3.49,3.64,3.49,3.64
2026-01-02,3.546,3.69,3.546,3.69
2026-01-05,3.578,3.706,3.578,3.686
2026-01-06,3.512,3.758,3.512,3.758
2026-01-07,3.634,3.722,3.634,3.646
2026-01-08,3.552,3.7,3.552,3.7
2026-01-09,3.586,3.728,3.586,3.706
2026-01-12,3.598,3.728,3.598,3.708
2026-01-13,3.602,3.722,3.602,3.684
2026-01-14,3.772,3.772,3.76,3.76
2026-01-15,3.802,3.822,3.802,3.822
2026-01-19,3.84,3.84,3.71,3.71
2026-01-20,3.632,3.724,3.632,3.724
2026-01-21,3.646,3.778,3.646,3.778
2026-01-22,3.716,3.85,3.716,3.846
2026-01-23,3.724,3.952,3.724,3.952
2026-01-26,3.856,3.92,3.856,3.92
2026-01-27,3.748,3.938,3.748,3.938
2026-01-28,3.84,3.96,3.84,3.96
2026-01-29,3.862,4.038,3.862,4.038
2026-01-30,3.858,3.978,3.852,3.978
2026-02-02,3.866,3.95,3.866,3.95
2026-02-03,3.888,3.986,3.888,3.986
2026-02-04,3.878,4.098,3.878,4.098
2026-02-05,3.948,4.108,3.948,4.058
