Date,Open,High,Low,Close,Volume
2025-05-22,11.48,11.48,11.48,11.48,0
2025-05-23,11.45,11.45,11.45,11.45,0
2025-05-26,11.55,11.55,11.55,11.55,0
2025-05-27,11.59,11.59,11.59,11.59,0
2025-05-28,11.49,11.49,11.49,11.49,0
2025-05-29,11.6,11.6,11.6,11.6,0
2025-05-30,11.49,11.49,11.49,11.49,0
2025-06-02,11.46,11.46,11.46,11.46,0
2025-06-03,11.71,11.71,11.71,11.71,0
2025-06-04,11.69,11.69,11.69,11.69,0
2025-06-05,11.62,11.7,11.62,11.66,790
2025-06-06,11.66,11.66,11.66,11.66,0
2025-06-09,11.63,11.63,11.63,11.63,0
2025-06-10,11.65,11.65,11.65,11.65,0
2025-06-11,11.67,11.67,11.67,11.67,0
2025-06-12,11.59,11.59,11.59,11.59,0
2025-06-13,11.43,11.43,11.43,11.43,0
2025-06-16,11.54,11.54,11.54,11.54,11
2025-06-17,11.69,11.69,11.69,11.69,0
2025-06-18,11.66,11.66,11.66,11.66,0
2025-06-19,11.74,11.74,11.74,11.74,0
2025-06-20,11.78,11.78,11.78,11.78,1100
2025-06-23,11.68,11.68,11.68,11.68,0
2025-06-24,11.85,11.85,11.85,11.85,0
2025-06-25,11.85,11.85,11.85,11.85,0
2025-06-26,11.76,11.76,11.76,11.76,0
2025-06-27,11.84,11.84,11.84,11.84,0
2025-06-30,12,12,12,12,0
2025-07-01,12,12,12,12,0
2025-07-02,12.03,12.03,12.03,12.03,0
2025-07-03,11.93,11.93,11.93,11.93,0
2025-07-04,11.97,11.97,11.97,11.97,0
2025-07-07,12.09,12.09,12.09,12.09,0
2025-07-08,11.94,11.94,11.94,11.94,0
2025-07-09,11.85,11.85,11.83,11.83,22
2025-07-10,11.71,11.71,11.71,11.71,0
2025-07-11,12.38,12.38,12.38,12.38,100
2025-07-14,12.19,12.3,12.19,12.3,310
2025-07-15,12.33,12.33,12.33,12.33,0
2025-07-16,12.29,12.29,12.29,12.29,0
2025-07-17,12.29,12.32,12.29,12.32,90
2025-07-18,12.57,12.57,12.44,12.53,785
2025-07-21,12.5,12.5,12.5,12.5,0
2025-07-22,12.31,12.31,12.31,12.31,0
2025-07-23,12.42,12.42,12.42,12.42,0
2025-07-24,12.54,12.54,12.54,12.54,0
2025-07-25,12.42,12.42,12.42,12.42,0
2025-07-28,12.52,12.52,12.52,12.52,0
2025-07-29,12.54,12.54,12.54,12.54,0
2025-07-30,12.64,12.64,12.64,12.64,0
2025-07-31,12.48,12.48,12.48,12.48,0
2025-08-01,12.49,12.49,12.28,12.28,250
2025-08-04,12.22,12.22,12.22,12.22,0
2025-08-05,12.47,12.47,12.47,12.47,0
2025-08-06,12.61,12.61,12.61,12.61,0
2025-08-07,12.75,12.75,12.75,12.75,0
2025-08-08,12.62,12.62,12.62,12.62,0
2025-08-11,12.57,12.57,12.57,12.57,0
2025-08-12,12.69,12.69,12.69,12.69,0
2025-08-13,12.77,12.77,12.74,12.74,245
2025-08-14,12.76,12.76,12.76,12.76,0
2025-08-15,13.02,13.04,13.02,13.04,13
2025-08-18,13.03,13.12,13.03,13.12,700
2025-08-19,13.13,13.34,13.13,13.34,442
2025-08-20,12.95,12.95,12.95,12.95,0
2025-08-21,13.03,13.03,13.03,13.03,0
2025-08-22,13.11,13.11,13.11,13.11,0
2025-08-25,13.2,13.25,13.2,13.25,379
2025-08-26,13.11,13.11,13.11,13.11,0
2025-08-27,13.13,13.13,13.13,13.13,0
2025-08-28,13.18,13.18,13.18,13.18,0
2025-08-29,13.15,13.15,13.15,13.15,0
2025-09-01,13.08,13.08,13.08,13.08,0
2025-09-02,13.08,13.08,13.08,13.08,0
2025-09-03,12.85,12.85,12.85,12.85,0
2025-09-04,12.71,12.71,12.71,12.71,0
2025-09-05,12.89,12.89,12.89,12.89,0
2025-09-08,12.95,13.09,12.95,13.09,96
2025-09-09,13.1,13.1,13.1,13.1,0
2025-09-10,13.26,13.26,13.26,13.26,0
2025-09-11,13.3,13.3,13.3,13.3,0
2025-09-12,13.17,13.22,13.17,13.22,821
2025-09-15,13.3,13.51,13.3,13.51,620
2025-09-16,13.55,13.55,13.55,13.55,0
2025-09-17,13.48,13.48,13.48,13.48,0
2025-09-18,13.4,13.4,13.4,13.4,0
2025-09-19,13.47,13.47,13.47,13.47,0
2025-09-22,13,13,12.81,12.81,1263
2025-09-23,12.76,12.76,12.76,12.76,0
2025-09-24,12.89,12.89,12.89,12.89,0
2025-09-25,12.84,12.84,12.84,12.84,0
2025-09-26,12.73,12.86,12.73,12.86,750
2025-09-29,12.93,12.93,12.93,12.93,0
2025-09-30,12.95,12.95,12.95,12.95,0
2025-10-01,13,13,13,13,0
2025-10-02,13.44,13.44,13.44,13.44,0
2025-10-03,12.89,12.89,12.89,12.89,0
2025-10-06,12.98,13.15,12.98,13.15,10
2025-10-07,13.02,13.02,13.02,13.02,0
2025-10-08,13.26,13.26,13.26,13.26,0
2025-10-09,13.27,13.27,13.27,13.27,0
2025-10-10,13.38,13.4,13.38,13.4,40
2025-10-13,13.51,13.51,13.51,13.51,0
2025-10-14,13.32,13.32,13.32,13.32,0
2025-10-15,13.35,13.35,13.35,13.35,0
2025-10-16,13.41,13.41,13.41,13.41,0
2025-10-17,13.19,13.19,13.19,13.19,0
2025-10-20,13.08,13.08,13.08,13.08,0
2025-10-21,13.08,13.08,13.08,13.08,0
2025-10-22,13.39,13.55,13.39,13.55,260
2025-10-23,13.58,13.58,13.58,13.58,0
2025-10-24,13.79,13.79,13.79,13.79,0
2025-10-27,13.56,13.56,13.56,13.56,0
2025-10-28,13.76,13.76,13.76,13.76,0
2025-10-29,13.68,13.68,13.68,13.68,0
2025-10-30,13.68,13.68,13.68,13.68,0
2025-10-31,13.53,13.53,13.43,13.43,9
2025-11-03,13.45,13.59,13.45,13.59,20
2025-11-04,13.44,13.44,13.44,13.44,0
2025-11-05,13.49,13.49,13.4,13.4,5
2025-11-06,13.39,13.39,13.39,13.39,0
2025-11-07,13.27,13.27,13.27,13.27,0
2025-11-10,13.49,13.49,13.49,13.49,11
2025-11-11,13.48,13.48,13.48,13.48,0
2025-11-12,13.65,13.74,13.65,13.74,20
2025-11-13,13.72,13.72,13.72,13.72,0
2025-11-14,13.83,13.83,13.83,13.83,0
2025-11-17,13.61,13.61,13.51,13.51,1000
2025-11-18,13.44,13.44,13.25,13.25,389
2025-11-19,13.25,13.25,13.25,13.25,0
2025-11-20,13.37,13.37,13.37,13.37,0
2025-11-21,13.25,13.25,13.25,13.25,0
2025-11-24,13.43,13.43,13.43,13.43,0
2025-11-25,13.34,13.34,13.34,13.34,1
2025-11-26,13.41,13.43,13.41,13.43,0
2025-11-27,13.37,13.37,13.37,13.37,0
2025-11-28,13.49,13.49,13.49,13.49,0
2025-12-01,13.28,13.35,13.28,13.35,5
2025-12-02,13.38,13.38,13.38,13.38,0
2025-12-03,13.45,13.45,13.45,13.45,0
2025-12-04,13.3,13.3,13.3,13.3,0
2025-12-05,13.37,13.37,13.37,13.37,0
2025-12-08,13.31,13.31,13.31,13.31,0
2025-12-09,13.46,13.46,13.46,13.46,0
2025-12-10,13.67,13.67,13.67,13.67,500
2025-12-11,13.89,13.89,13.89,13.89,0
2025-12-12,14,14,14,14,0
2025-12-15,14.08,14.15,14.08,14.09,298
2025-12-16,14.05,14.05,14.05,14.05,0
2025-12-17,14.09,14.09,14.09,14.09,0
2025-12-18,14.1,14.1,14.1,14.1,0
2025-12-19,14.25,14.25,14.25,14.25,0
2025-12-22,14.38,14.38,14.3,14.3,8
2025-12-23,14.27,14.27,14.27,14.27,0
2025-12-29,14.44,14.44,14.41,14.41,940
2025-12-30,14.46,14.46,14.46,14.46,0
2026-01-02,14.55,14.55,14.54,14.54,711
2026-01-05,14.62,14.62,14.62,14.62,0
2026-01-06,14.6,14.74,14.6,14.74,1033
2026-01-07,14.64,14.64,14.45,14.45,70
2026-01-08,14.36,14.53,14.36,14.53,286
2026-01-09,14.65,14.65,14.65,14.65,0
